region,cement_type,cement_content_kgm3,water_cement_ratio,fly_ash_pct,admixture_type,admixture_dosage_pct,curing_method,curing_temperature_C,curing_duration_hr,element_thickness_mm,element_type,ambient_temperature_C,relative_humidity_pct,season,automation_level,mould_reset_time_hr,strength_gain_time_hr,total_cycle_time_hr,cost_per_cycle_inr
North,OPC53,445,0.39,4,Accelerator,1.7,Steam,71.05332743952519,6,100,Wall Panel,25.52689962252588,64.3358954851227,Summer,Semi-Auto,2.4,4.0,6.9,3932.71
South,PPC,367,0.52,24,Accelerator,0.34,Polythene,21.01888019201813,9,250,Slab,27.14791710218736,93.00735685160596,Summer,Semi-Auto,0.8,25.08,26.38,4784.21
North,PSC,466,0.34,17,None,1.1,Ambient,25.10208722616539,8,400,Staircase,15.253966339284041,59.069640069045754,Monsoon,Semi-Auto,2.0,14.08,16.58,4411.32
Central,PPC,384,0.34,24,None,1.82,Steam,60.83014475784853,16,100,Staircase,38.74646679589151,48.84123893936726,Monsoon,Manual,1.3,5.61,7.41,4055.8
North,PPC,389,0.3,27,None,1.81,Accelerated,75.08572003487544,8,200,Staircase,21.320332740810702,82.69405406005563,Summer,Fully-Auto,1.0,4.0,5.5,3743.92
South,PPC,479,0.31,5,Accelerator,0.63,Accelerated,73.44339849614094,19,150,Slab,29.018376554540396,82.92952223001839,Summer,Semi-Auto,0.9,4.0,5.4,4487.37
Central,PPC,324,0.37,29,None,1.48,Polythene,28.777255717208913,8,400,Beam,43.2743211733066,47.90073054887721,Monsoon,Semi-Auto,1.0,24.99,26.49,4362.3
Central,PPC,406,0.4,0,HRWR,1.48,Accelerated,73.56257636151273,6,300,Wall Panel,35.16055014775564,75.65115267600216,Winter,Fully-Auto,1.3,4.0,5.8,3841.14
Central,PPC,452,0.38,3,None,0.76,Steam,63.18791034357569,21,150,Slab,32.192041876335885,66.2410322923551,Winter,Manual,1.8,4.0,6.3,4120.64
North,OPC43,335,0.52,17,Retarder,0.04,Steam,57.33352381497109,11,100,Column,24.86873137647897,63.79685772945656,Monsoon,Semi-Auto,1.2,11.02,12.72,4592.09
South,PPC,443,0.37,14,HRWR,0.68,Steam,64.50748430135916,9,200,Slab,31.714671744946656,86.85586614803205,Winter,Manual,3.9,4.39,8.79,4128.29
South,OPC43,405,0.53,29,Accelerator,1.2,Polythene,36.364314216136556,15,100,Column,42.162524895105776,71.15825999101054,Winter,Manual,3.5,12.6,16.6,4433.84
North,PPC,347,0.37,20,None,1.31,Ambient,29.475218922268663,8,250,Column,34.16071695498364,77.03431424338225,Summer,Semi-Auto,2.5,22.59,25.59,4331.12
North,OPC43,339,0.5,14,None,0.47,Steam,60.83348232084376,15,100,Staircase,6.953441111736225,53.711367065563024,Winter,Manual,3.5,8.37,12.37,4344.95
South,OPC53,326,0.39,6,Accelerator,1.77,Ambient,31.305218948633783,8,500,Column,26.473089093174693,60.02961590512562,Monsoon,Fully-Auto,2.7,14.71,17.91,2855.72
West,PSC,471,0.32,3,Retarder,0.92,Polythene,29.649554857643473,22,200,Staircase,31.678182165913434,79.12759561564818,Summer,Manual,2.4,13.72,16.62,5019.29
West,OPC43,347,0.31,1,HRWR,0.62,Steam,59.03806931082072,15,100,Slab,28.027276231452575,16.955898193263756,Winter,Manual,1.2,4.15,5.85,3435.22
West,OPC43,403,0.39,22,Accelerator,1.5,Ambient,27.99794125967655,23,100,Wall Panel,28.7837844010547,47.324150489396,Winter,Semi-Auto,1.1,11.1,12.7,3779.81
West,OPC43,311,0.45,24,HRWR,0.19,Accelerated,73.391480343298,23,500,Beam,26.937777677842867,81.60737458751224,Winter,Semi-Auto,1.9,6.28,8.68,3999.57
Central,OPC43,362,0.52,14,Accelerator,0.73,Ambient,26.69994833474642,19,400,Slab,44.10826417836977,36.7456200074231,Summer,Semi-Auto,3.3,23.78,27.58,4381.01
West,OPC53,455,0.31,24,Accelerator,0.58,Polythene,29.068668058369013,19,200,Wall Panel,36.17753899966815,50.7432175520555,Winter,Manual,3.9,4.89,9.29,3797.98
East,OPC53,335,0.44,6,HRWR,1.19,Ambient,32.35012511509496,19,300,Column,34.869865081274675,90.22890092191969,Summer,Fully-Auto,3.0,18.32,21.82,3137.72
South,OPC43,446,0.53,9,HRWR,1.61,Polythene,25.479233102585958,12,400,Wall Panel,32.731073981887796,61.7201035167291,Winter,Manual,1.0,23.2,24.7,6110.66
Central,OPC43,461,0.54,11,HRWR,1.32,Polythene,29.60348918648745,19,250,Beam,33.46551027092315,56.24053710805273,Summer,Manual,2.4,18.97,21.87,5598.24
Central,PSC,444,0.3,11,Accelerator,1.22,Polythene,32.93400892799522,7,200,Beam,42.705292241471426,45.985433157389195,Monsoon,Fully-Auto,0.9,6.87,8.27,3535.99
South,OPC43,486,0.44,20,Accelerator,1.31,Steam,65.9583058187654,11,100,Staircase,30.063091274926425,86.29820169624236,Winter,Semi-Auto,2.1,4.0,6.6,4109.09
West,OPC53,464,0.42,12,Accelerator,1.75,Steam,61.4104548555472,10,200,Staircase,15.55902099418115,52.18720326043538,Monsoon,Manual,1.9,4.0,6.4,4193.73
Central,PPC,338,0.45,5,None,0.29,Polythene,31.81815050179717,8,100,Staircase,36.02054557634578,68.6399253385024,Winter,Semi-Auto,1.4,21.99,23.89,4238.0
Central,PSC,472,0.37,21,HRWR,0.76,Polythene,32.77307210407802,21,150,Wall Panel,35.67217905433873,49.98903775040401,Winter,Manual,1.9,10.41,12.81,4641.83
Central,PPC,435,0.45,1,Retarder,0.01,Steam,71.42403511362492,21,200,Beam,37.40421214047751,72.05792082388334,Winter,Manual,1.5,7.87,9.87,5042.9
North,PSC,369,0.37,15,HRWR,1.7,Steam,67.59806319495381,14,300,Beam,42.69557353018146,46.06617121546124,Monsoon,Manual,1.2,5.84,7.54,3919.93
East,PPC,422,0.53,19,Retarder,0.2,Ambient,23.225505537917975,19,250,Column,38.68379118280524,70.69545164392872,Monsoon,Semi-Auto,1.3,42.54,44.34,6413.29
East,PPC,383,0.48,14,None,0.81,Ambient,26.518640620065025,15,100,Slab,19.133439807952932,64.02074817665606,Monsoon,Fully-Auto,3.8,25.58,29.88,3666.53
West,PPC,313,0.45,26,Accelerator,0.12,Steam,63.49499578134281,20,100,Wall Panel,49.567030555625465,19.291687183910025,Winter,Fully-Auto,1.0,6.3,7.8,3195.2
North,PSC,444,0.32,21,Retarder,0.9,Ambient,31.719807716904285,20,150,Wall Panel,34.54114083674857,64.50740867707168,Winter,Semi-Auto,3.7,14.6,18.8,4281.2
Central,PSC,437,0.48,26,Accelerator,0.87,Ambient,28.271840805174328,12,200,Slab,35.41103971290018,53.73522660507782,Monsoon,Semi-Auto,1.2,16.7,18.4,4432.45
East,OPC53,489,0.33,4,Accelerator,1.24,Steam,63.68690898282285,16,150,Column,31.49043884640959,89.08510621232595,Summer,Manual,2.6,4.0,7.1,4370.99
South,OPC43,326,0.37,15,None,1.74,Polythene,34.299823711880634,11,250,Staircase,34.454117020729775,82.38538687463986,Summer,Manual,0.8,16.23,17.53,4392.07
North,PPC,336,0.52,26,HRWR,0.97,Ambient,27.410580649168317,17,300,Wall Panel,7.17820359684309,86.87047997218964,Monsoon,Manual,2.4,33.17,36.07,6333.5
South,PSC,330,0.36,18,None,0.6,Ambient,36.80365100057556,18,250,Beam,31.2184761981526,84.49808384327275,Monsoon,Fully-Auto,0.8,19.27,20.57,3091.2
East,OPC53,439,0.34,21,HRWR,1.82,Ambient,28.009593971845867,6,200,Column,23.801124317404522,70.7342124354567,Summer,Semi-Auto,1.0,10.37,11.87,3919.46
East,OPC53,432,0.37,23,HRWR,0.25,Polythene,27.035234996469686,14,200,Column,27.823835933003128,80.97753233842856,Monsoon,Semi-Auto,1.0,11.13,12.63,3948.5
North,OPC53,303,0.42,20,Accelerator,0.21,Ambient,27.051110390905468,18,500,Staircase,38.90400428009562,84.52503549698996,Summer,Fully-Auto,1.3,20.24,22.04,2920.79
Central,OPC43,309,0.31,24,HRWR,0.08,Ambient,27.8768566280807,17,250,Slab,40.97896536733326,24.10102365105886,Monsoon,Fully-Auto,2.0,17.86,20.36,2799.79
South,OPC53,337,0.33,5,Accelerator,0.98,Ambient,26.997938997287186,6,250,Wall Panel,28.119122175510565,66.42596285035476,Monsoon,Manual,2.8,12.92,16.22,3960.65
West,PSC,358,0.36,15,None,1.87,Ambient,21.659947620285195,18,250,Slab,34.14513039368713,68.10385680562504,Monsoon,Manual,1.1,27.42,29.02,5848.06
North,OPC43,376,0.44,21,Retarder,0.64,Accelerated,75.65570666662114,8,100,Staircase,45.02569697560846,56.50818257849332,Monsoon,Manual,2.7,5.74,8.94,4527.08
East,PPC,354,0.36,1,None,1.95,Accelerated,75.49907776808395,7,500,Beam,9.312554423559227,85.14847481081058,Summer,Semi-Auto,2.9,4.66,8.06,3727.68
North,OPC43,404,0.5,12,None,1.64,Polythene,29.34813720135271,13,400,Wall Panel,14.333340795705885,81.09890634765938,Winter,Semi-Auto,1.4,25.07,26.97,4986.68
West,OPC43,333,0.4,6,HRWR,0.62,Steam,68.15765148379502,12,150,Beam,32.119665809340404,63.67524150499838,Winter,Fully-Auto,1.0,6.49,7.99,3399.46
South,PSC,300,0.31,0,Accelerator,0.71,Polythene,29.83276146562841,6,150,Slab,31.03520573716649,72.97779711458402,Summer,Semi-Auto,3.8,13.11,17.41,3257.57
East,PPC,347,0.52,11,HRWR,1.11,Ambient,23.684457206908647,11,100,Beam,25.938181340541203,89.08919560927558,Monsoon,Manual,3.6,31.06,35.16,6117.69
Central,PSC,341,0.5,29,Accelerator,0.79,Steam,57.61869253371138,8,500,Column,28.59822070174656,42.29845786398059,Winter,Manual,3.2,8.62,12.32,4453.13
South,PSC,478,0.4,22,None,1.31,Ambient,21.915180878263627,9,100,Column,25.59511282780737,59.9383136286233,Summer,Semi-Auto,1.3,17.75,19.55,4679.16
West,OPC43,353,0.48,25,HRWR,1.49,Polythene,22.09248309146038,12,150,Wall Panel,27.885037870201188,42.54971520310389,Summer,Manual,2.1,24.27,26.87,5537.11
South,PPC,481,0.44,17,Accelerator,0.3,Accelerated,71.34900110161571,10,400,Staircase,28.151464503810722,65.55044952216466,Monsoon,Semi-Auto,1.6,4.0,6.1,4549.36
Central,OPC53,499,0.43,20,Accelerator,1.7,Accelerated,76.72652618327005,9,250,Slab,13.367655207605104,47.05398031220936,Winter,Fully-Auto,2.1,4.0,6.6,4460.02
Central,OPC53,307,0.4,8,Accelerator,1.12,Ambient,26.701877116188744,14,400,Staircase,31.903233272645682,64.99610759237969,Summer,Manual,2.7,17.75,20.95,4330.96
South,OPC53,415,0.55,25,Accelerator,0.53,Ambient,26.43279785393712,14,300,Column,25.029845991459997,74.91920240078868,Monsoon,Semi-Auto,1.0,17.26,18.76,4315.07
North,PSC,323,0.31,16,Retarder,0.48,Ambient,28.937776690460595,8,150,Column,13.28289352322082,74.5067146977752,Monsoon,Manual,1.1,25.9,27.5,5446.58
West,OPC53,317,0.45,28,Accelerator,1.57,Steam,64.90345805394423,20,100,Beam,35.98987967223804,40.44231423236188,Winter,Semi-Auto,0.8,4.29,5.59,3077.64
West,PSC,402,0.4,2,Retarder,1.16,Steam,70.1298261529988,13,300,Slab,31.080317848161044,65.75203611361503,Summer,Fully-Auto,1.5,7.43,9.43,4035.08
Central,PSC,408,0.45,14,Accelerator,1.62,Polythene,26.03451866475662,10,400,Wall Panel,28.500365988898636,46.88423328505726,Monsoon,Manual,3.3,19.08,22.88,5250.75
North,OPC43,342,0.47,8,Accelerator,0.83,Ambient,30.039783509605954,23,300,Column,21.652745974668868,62.697396955354286,Monsoon,Manual,1.8,19.78,22.08,4722.29
West,PPC,412,0.43,29,HRWR,0.86,Steam,62.26532433398246,9,150,Wall Panel,41.4842889186379,32.77051976701666,Monsoon,Manual,3.2,4.84,8.54,4117.99
Central,OPC53,486,0.46,0,Retarder,0.2,Accelerated,74.51977301148516,9,150,Staircase,19.212309505358842,52.39977134426735,Winter,Semi-Auto,3.1,4.0,7.6,4589.07
North,OPC43,351,0.34,9,None,0.16,Polythene,30.05810198246194,17,400,Column,31.992766699930762,23.994277007173537,Winter,Fully-Auto,1.8,16.76,19.06,3245.97
South,OPC53,396,0.52,15,HRWR,0.11,Ambient,26.706789577173012,13,200,Slab,30.567897025087213,73.93444738180827,Winter,Semi-Auto,2.4,22.02,24.92,4657.48
East,PSC,365,0.44,10,Accelerator,0.69,Polythene,32.8120379342871,6,300,Staircase,15.762460503986764,85.84107850075087,Winter,Fully-Auto,2.5,16.1,19.1,3275.91
West,PPC,458,0.43,12,None,0.99,Ambient,32.12237617750648,11,100,Staircase,41.47990196877881,15.0,Summer,Semi-Auto,1.9,15.62,18.02,4498.2
North,PPC,305,0.42,19,Accelerator,1.04,Steam,61.5831593838286,16,100,Column,35.864380069636624,82.32132295325103,Monsoon,Fully-Auto,1.4,5.01,6.91,3004.52
South,PSC,385,0.36,4,HRWR,0.51,Steam,61.18614725265769,15,150,Wall Panel,27.96354253193006,69.35922276903338,Winter,Fully-Auto,3.5,4.98,8.98,3543.64
North,PPC,491,0.5,14,None,1.84,Ambient,24.01408105483572,8,200,Column,34.99813169367327,63.616702318530486,Monsoon,Manual,3.5,24.51,28.51,6433.97
East,OPC53,327,0.4,6,None,0.76,Steam,68.02049162873921,9,500,Beam,35.43620518716518,82.22860140200515,Winter,Semi-Auto,1.8,4.78,7.08,3201.04
East,PSC,486,0.55,26,None,1.23,Accelerated,74.67067608269947,22,150,Staircase,30.096806692142252,95.9893259369396,Monsoon,Semi-Auto,1.8,6.01,8.31,5184.13
Central,OPC43,303,0.39,19,Retarder,1.14,Polythene,29.59089390106251,23,500,Column,28.407982884133602,78.23297192405606,Monsoon,Semi-Auto,2.1,31.03,33.63,4811.68
North,PPC,387,0.5,10,None,0.81,Ambient,28.080498211944388,21,400,Beam,31.691849695393824,60.152064094907175,Winter,Manual,1.9,30.97,33.37,6499.9
South,PPC,385,0.41,9,Accelerator,1.09,Steam,69.30860418471566,15,100,Staircase,33.36575293749101,44.716623962810786,Winter,Manual,1.0,4.75,6.25,3786.58
North,PSC,449,0.35,12,Accelerator,1.49,Ambient,30.785034923674424,19,150,Beam,25.26881905647656,34.174104771378,Monsoon,Fully-Auto,1.1,8.1,9.7,3473.61
East,OPC43,498,0.31,26,None,1.66,Steam,63.696372783747236,12,150,Staircase,24.372298797045037,93.76482378225106,Winter,Semi-Auto,2.0,4.0,6.5,4378.06
Central,OPC43,335,0.46,8,HRWR,1.22,Polythene,26.86646125080638,6,500,Beam,40.246617972315555,35.143208513183225,Summer,Semi-Auto,4.0,26.5,31.0,4623.79
North,PSC,335,0.36,25,HRWR,0.36,Polythene,25.720608265728764,14,150,Beam,26.265206873642345,66.70501651084534,Summer,Manual,1.0,21.1,22.6,4903.97
North,OPC43,337,0.44,18,HRWR,0.46,Polythene,29.613488664359284,9,400,Wall Panel,24.551291940402013,61.007602197186955,Monsoon,Fully-Auto,2.8,22.11,25.41,3401.23
South,PPC,484,0.52,19,HRWR,0.28,Steam,63.561998667513855,21,100,Staircase,31.704800842046566,70.93783090795847,Winter,Semi-Auto,2.7,5.98,9.18,4544.97
East,PPC,362,0.49,25,Accelerator,1.24,Ambient,28.454452764234574,7,200,Slab,41.27497904224377,83.46566663998829,Monsoon,Semi-Auto,2.7,20.49,23.69,4244.72
West,PSC,322,0.45,1,Accelerator,0.34,Steam,67.07580487705657,12,100,Column,29.27685143008661,49.34352745169784,Monsoon,Manual,1.9,6.42,8.82,3803.02
East,PSC,380,0.48,15,None,0.47,Polythene,26.74028516984848,7,500,Wall Panel,23.46475986970536,68.84756240888767,Summer,Semi-Auto,1.2,31.97,33.67,5461.84
West,PSC,403,0.35,14,HRWR,0.99,Polythene,32.199124004636744,9,400,Beam,34.349210304710496,60.55455464725041,Monsoon,Semi-Auto,2.9,14.87,18.27,4154.55
South,PPC,392,0.5,5,HRWR,1.6,Steam,57.897626860887435,17,300,Staircase,32.5346946994421,89.31869371659268,Summer,Manual,3.2,8.64,12.34,4877.77
South,PPC,440,0.5,14,None,1.67,Polythene,28.199481972360843,23,150,Column,28.94373941071831,86.16278878112661,Winter,Manual,2.2,22.45,25.15,5995.01
Central,PPC,408,0.48,14,None,1.84,Accelerated,75.34545694332142,12,100,Slab,16.882633077548753,31.11352240383487,Summer,Semi-Auto,1.8,4.86,7.16,4286.93
North,OPC53,338,0.4,29,None,0.83,Steam,62.22771845889744,19,250,Wall Panel,10.998126765591206,15.0,Winter,Manual,1.8,6.37,8.67,3831.12
Central,PPC,380,0.54,3,None,1.94,Steam,62.004994431511484,12,150,Column,42.52888995413658,61.245672058235485,Summer,Semi-Auto,3.4,7.18,11.08,4149.03
Central,PSC,396,0.34,7,None,1.36,Steam,65.71531953316502,11,300,Staircase,51.8569788908818,64.88754167081434,Winter,Manual,0.7,6.2,7.4,4290.87
Central,PSC,425,0.54,11,None,1.17,Steam,71.59245116316374,9,400,Beam,42.019666345182934,69.07290607923471,Summer,Semi-Auto,0.8,9.2,10.5,4807.44
East,PSC,475,0.51,27,HRWR,0.16,Accelerated,72.01901075534727,18,400,Wall Panel,34.550450816855815,76.93050465843189,Summer,Semi-Auto,2.9,4.96,8.36,4777.69
North,OPC43,422,0.39,5,HRWR,0.62,Ambient,26.545133365367157,22,200,Slab,5.3643785788064875,35.5803026956862,Winter,Manual,1.4,14.97,16.87,4829.68
South,PSC,455,0.32,25,HRWR,1.34,Polythene,30.868807698139463,17,500,Beam,34.82623561987365,97.7137139997133,Winter,Manual,1.5,11.78,13.78,4705.41
West,PPC,375,0.51,21,HRWR,1.24,Ambient,33.36580750937364,11,300,Column,46.34342582151233,36.28604240101362,Winter,Semi-Auto,1.7,24.46,26.66,4576.74
Central,OPC43,375,0.31,26,None,1.03,Steam,64.47392547681548,16,400,Slab,32.831650134001784,67.42430097328757,Winter,Fully-Auto,2.8,4.92,8.22,3394.69
North,PSC,435,0.34,2,None,0.34,Polythene,27.033555478809276,14,250,Slab,19.414290507800253,25.813821876493254,Monsoon,Manual,3.6,13.16,17.26,4785.51
West,PPC,471,0.33,0,None,1.74,Polythene,30.348605157287427,19,100,Staircase,37.8670929050254,42.638604881557086,Winter,Fully-Auto,3.0,7.32,10.82,3676.85
South,PPC,482,0.53,29,Accelerator,1.17,Ambient,23.526503754253127,7,250,Column,30.613145402763543,51.309822568946096,Winter,Semi-Auto,1.5,19.49,21.49,4992.68
Central,PPC,376,0.42,13,None,1.31,Ambient,30.87685032235072,15,250,Column,19.48452441659839,42.40042078124313,Monsoon,Semi-Auto,1.4,22.73,24.63,4523.3
South,PSC,442,0.44,10,Accelerator,1.78,Steam,67.85604963598793,9,500,Slab,31.387735932311273,84.50493031938613,Winter,Fully-Auto,3.3,4.64,8.44,3830.58
South,OPC53,303,0.49,22,Accelerator,0.57,Steam,65.77825997378947,22,300,Slab,29.186423232141635,59.37573149808753,Summer,Manual,3.5,5.8,9.8,3575.03
South,PPC,439,0.38,27,Accelerator,0.97,Polythene,30.874000929956395,12,400,Beam,45.08636669485979,63.922707912285084,Winter,Manual,0.8,11.58,12.88,4499.63
South,PSC,329,0.35,8,HRWR,0.87,Polythene,27.0623060395307,6,300,Wall Panel,32.13385869291168,78.42127942214108,Summer,Manual,2.9,21.4,24.8,5058.4
East,PSC,345,0.36,12,HRWR,1.11,Accelerated,70.3396315990102,17,300,Column,36.0386331958659,96.64628855823608,Summer,Semi-Auto,2.7,4.11,7.31,3656.47
North,OPC43,327,0.51,24,None,1.37,Ambient,29.057268743152942,22,150,Slab,23.578005597920196,83.27793866466358,Summer,Manual,1.7,27.82,30.02,5700.36
East,PPC,359,0.41,15,Retarder,1.46,Ambient,29.596149515457512,16,150,Beam,33.68827184209381,66.525186127078,Monsoon,Manual,1.5,30.05,32.05,6105.42
West,PSC,401,0.44,27,HRWR,0.66,Steam,67.17093447022384,21,500,Staircase,39.41694948195997,18.6700772139262,Summer,Manual,3.8,7.01,11.31,4508.39
South,OPC43,326,0.53,5,Accelerator,1.27,Steam,66.31900916681907,8,100,Staircase,36.51945700318001,59.91666043224379,Monsoon,Semi-Auto,1.6,5.17,7.27,3410.43
East,OPC53,326,0.45,14,None,0.14,Ambient,25.52046851209705,10,250,Slab,34.32279206953831,82.03517211673922,Summer,Manual,1.1,23.41,25.01,5140.3
Central,PPC,309,0.36,22,HRWR,0.8,Ambient,31.145044675690258,23,100,Slab,35.615484635362336,70.88136391054238,Winter,Manual,1.3,18.09,19.89,4324.19
South,PPC,448,0.31,3,HRWR,0.3,Ambient,23.925969822875484,21,400,Slab,30.89119165183751,79.4153540907757,Monsoon,Semi-Auto,1.8,12.84,15.14,4123.18
Central,PSC,357,0.33,13,None,1.24,Polythene,30.70374740122604,8,150,Slab,24.941543307470447,57.14041755465628,Winter,Manual,0.6,17.04,18.14,4691.65
South,OPC43,405,0.44,10,Accelerator,1.81,Ambient,28.212615611426088,16,300,Beam,29.246560300988158,79.11845097989627,Winter,Manual,0.9,15.38,16.78,4802.01
South,OPC43,329,0.38,29,HRWR,1.48,Ambient,30.558479537553925,8,100,Slab,26.729581234019964,70.75859226440659,Monsoon,Semi-Auto,1.7,15.89,18.09,3670.34
East,OPC53,395,0.4,0,Accelerator,1.0,Ambient,29.002826398229562,15,200,Slab,31.538417249082727,58.531458149044134,Winter,Semi-Auto,2.2,11.14,13.84,3733.81
South,PPC,345,0.39,27,Accelerator,0.24,Polythene,28.316645858229265,17,400,Column,25.50995756954171,75.33101551405295,Winter,Semi-Auto,2.2,15.25,17.95,3646.78
South,OPC43,479,0.45,19,None,1.63,Accelerated,76.8211552532275,18,100,Slab,18.777502363144443,61.5920166700128,Monsoon,Manual,3.4,4.0,7.9,4590.58
West,OPC53,359,0.44,22,HRWR,1.22,Steam,64.35643714899227,15,300,Beam,41.92698070867475,27.326625026327186,Monsoon,Semi-Auto,3.3,5.82,9.62,3614.19
East,OPC53,407,0.45,15,Accelerator,0.43,Ambient,29.10195816354759,11,400,Staircase,21.483979261740657,72.29785060681631,Winter,Semi-Auto,2.7,13.25,16.45,3951.55
South,OPC53,372,0.41,8,Accelerator,0.99,Polythene,26.714211649041474,10,250,Beam,34.4346247360594,64.71668142774742,Monsoon,Fully-Auto,2.7,11.2,14.4,3121.63
Central,PPC,302,0.54,1,None,0.06,Ambient,33.06839972999845,10,150,Wall Panel,23.77269418996252,41.07607767558098,Monsoon,Manual,3.4,30.01,33.91,5778.23
Central,PSC,455,0.48,21,None,1.19,Accelerated,76.2812773822867,8,250,Column,24.098915938672597,87.27863398237699,Winter,Manual,2.5,4.65,7.65,4698.54
East,OPC53,476,0.39,18,None,0.44,Polythene,28.298547029605142,17,100,Slab,33.58719297063521,93.40375313168154,Summer,Manual,3.6,11.12,15.22,4664.35
Central,PPC,418,0.32,5,HRWR,0.89,Polythene,27.226927094747086,23,250,Beam,33.68583340478092,43.73528029764632,Monsoon,Manual,0.6,13.13,14.23,4564.87
East,OPC53,435,0.49,29,Retarder,0.97,Ambient,28.270124751600875,22,150,Column,24.67025904080541,73.47405135286529,Monsoon,Fully-Auto,2.9,21.84,25.24,3872.95
Central,PSC,467,0.5,7,HRWR,1.89,Ambient,26.080562082424393,19,150,Column,28.400491154316974,19.43587214227366,Summer,Manual,2.1,22.32,24.92,5924.58
East,OPC53,488,0.33,13,Retarder,1.04,Accelerated,80.59588079786694,8,250,Beam,34.4385347596746,59.78403982310749,Summer,Manual,2.6,4.0,7.1,4753.14
South,OPC43,302,0.39,15,HRWR,1.7,Ambient,19.681483770710596,23,500,Beam,42.35126542433598,94.97915497660107,Summer,Manual,3.7,33.14,37.34,6125.24
South,PSC,311,0.34,8,None,1.8,Polythene,27.872184848568452,21,300,Staircase,35.75480280374439,52.43949952183864,Monsoon,Semi-Auto,2.4,23.08,25.98,4204.21
West,OPC53,425,0.38,6,None,1.11,Steam,66.49674320289324,23,100,Column,37.19568142091073,25.57853541701047,Summer,Fully-Auto,3.8,4.09,8.39,3668.27
Central,OPC53,470,0.32,5,Accelerator,1.59,Ambient,21.29072138948451,22,100,Beam,7.488647759899052,81.16831845211311,Monsoon,Semi-Auto,1.8,6.12,8.42,3815.27
East,OPC53,467,0.47,18,HRWR,1.41,Polythene,26.472818814892644,20,250,Wall Panel,29.167708067341536,87.07018580444313,Winter,Fully-Auto,0.7,15.5,16.7,3951.75
South,OPC53,309,0.31,23,Retarder,1.14,Steam,65.83308470130423,8,150,Wall Panel,34.25195929077499,85.24771060345003,Summer,Manual,2.8,4.0,7.3,3183.9
Central,PSC,440,0.42,4,Accelerator,1.42,Ambient,27.705906786160636,9,400,Slab,29.189292589919752,81.17206272165353,Summer,Manual,3.2,14.92,18.62,4942.65
North,PSC,310,0.41,26,HRWR,1.47,Polythene,27.365313241024786,18,150,Wall Panel,38.73470501663465,62.521525880159594,Monsoon,Semi-Auto,3.8,24.23,28.53,4258.68
Central,PPC,411,0.48,11,Accelerator,1.27,Ambient,29.095593725234274,11,300,Wall Panel,35.54528570021809,47.93579948015814,Monsoon,Semi-Auto,0.8,19.82,21.12,4506.03
Central,OPC53,343,0.31,27,Accelerator,0.7,Polythene,25.90337443358765,12,200,Staircase,39.82704048095506,42.69465035732743,Monsoon,Fully-Auto,1.2,9.45,11.15,2845.52
West,OPC53,309,0.42,7,None,1.71,Ambient,28.7962355563678,22,100,Beam,33.10904541437844,98.0,Summer,Semi-Auto,3.3,20.5,24.3,3871.98
West,PPC,430,0.35,10,None,1.01,Polythene,31.007075635481183,16,300,Staircase,41.52963788045207,38.68697523554249,Winter,Fully-Auto,1.0,13.91,15.41,3696.82
West,PSC,328,0.52,5,None,1.2,Ambient,28.78455579017749,13,250,Slab,32.353515843821825,39.63984514989286,Winter,Fully-Auto,1.7,34.85,37.05,3723.16
Central,OPC53,477,0.34,14,Retarder,1.07,Accelerated,71.60962426784027,19,250,Column,39.86300368661679,46.70645482346303,Winter,Manual,2.6,4.0,7.1,4675.43
South,OPC43,362,0.39,20,None,0.29,Polythene,36.706282304270886,6,300,Wall Panel,36.0465545196565,73.72550104667779,Monsoon,Manual,2.3,14.76,17.56,4413.18
West,OPC53,396,0.31,5,None,0.1,Ambient,33.1574194682113,14,250,Column,27.377782751964265,63.587380709986036,Summer,Semi-Auto,2.0,10.09,12.59,3542.48
North,OPC43,486,0.34,1,Accelerator,1.66,Polythene,30.689906272131807,13,400,Column,39.19096650897541,44.64933022173611,Winter,Manual,0.9,7.46,8.86,4477.28
West,PPC,387,0.51,24,Accelerator,0.68,Accelerated,71.73984431233576,6,100,Slab,35.109200330160505,47.11671995352801,Monsoon,Semi-Auto,3.5,4.0,8.0,3812.17
Central,PSC,353,0.34,2,HRWR,1.22,Accelerated,78.2506455699836,20,200,Slab,22.783035459845575,43.842722248009295,Monsoon,Fully-Auto,2.1,4.0,6.6,3486.03
North,OPC53,311,0.53,16,None,0.54,Steam,62.16804495395633,10,500,Staircase,52.150825700023816,44.905690763296974,Summer,Manual,3.4,10.17,14.07,4569.82
South,OPC43,396,0.34,3,None,0.72,Ambient,24.36945428470815,13,300,Slab,35.4869666309764,73.03975932611716,Winter,Semi-Auto,1.3,18.03,19.83,4239.51
Central,OPC53,481,0.39,28,None,0.1,Ambient,23.728262585709697,9,100,Wall Panel,34.8205072830031,72.0524503226455,Monsoon,Semi-Auto,2.1,13.18,15.78,4447.12
West,PPC,382,0.47,1,None,0.6,Accelerated,67.34992112545096,12,100,Slab,38.08819694966848,55.87308256561214,Monsoon,Semi-Auto,0.6,6.72,7.82,4587.95
North,OPC53,379,0.38,27,Accelerator,0.65,Ambient,26.407172843266785,14,250,Beam,27.57444427403812,21.505942251037332,Monsoon,Manual,2.9,10.18,13.58,3904.5
